id,name,account_id,project_id,environment_id,created_at,updated_at,layer,source,modulo,subject_area,model,execute_steps,settings
669917,AGOS_L1_O_VIG_CCBITGUSD [[AGOS_L1_O_VIG_CCBITGUSD]],702,12990,58598,2026-06-09 14:16:12.709121+00:00,2026-06-30 09:40:54.432966+00:00,L1,OCS,VIG,,CCBITGUSD,"[""dbt build --select +ccbitgusd""]","{""threads"": 2, ""target_name"": ""default""}"
669918,AGOS_L1_O_CAR_CRCROSVOU [[AGOS_L1_O_CAR_CRCROSVOU]],702,12990,58598,2026-06-09 14:16:12.901642+00:00,2026-06-30 09:38:36.507449+00:00,L1,OCS,CAR,,CRCROSVOU,"[""dbt build --select +crcrosvou""]","{""threads"": 2, ""target_name"": ""default""}"
669919,AGOS_L1_O_INC_ICDDFLRI [[AGOS_L1_O_INC_ICDDFLRI]],702,12990,58598,2026-06-09 14:16:13.120473+00:00,2026-07-24 12:55:38.361164+00:00,L1,OCS,XIC,,ICDDFLRI,"[""dbt build --select +icddflri""]","{""threads"": 2, ""target_name"": ""default""}"
669920,AGOS_L1_O_CQS_QSRATPAD [[AGOS_L1_O_CQS_QSRATPAD]],702,12990,58598,2026-06-09 14:16:13.363388+00:00,2026-06-30 09:38:15.410929+00:00,L1,OCS,CQS,,QSRATPAD,"[""dbt build --select +qsratpad""]","{""threads"": 2, ""target_name"": ""default""}"
669921,AGOS_L1_O_CMN_XXTESTID [[AGOS_L1_O_CMN_XXTESTID]],702,12990,58598,2026-06-09 14:16:13.557851+00:00,2026-07-24 12:59:53.800277+00:00,L1,OCS,XCM,,XXTESTID,"[""dbt build --select +xxtestid""]","{""threads"": 2, ""target_name"": ""default""}"
669922,AGOS_L1_O_CNT_CCPDCDES [[AGOS_L1_O_CNT_CCPDCDES]],702,12990,58598,2026-06-09 14:16:13.784764+00:00,2026-06-30 09:41:32.954637+00:00,L1,OCS,CNT,,CCPDCDES,"[""dbt build --select +ccpdcdes""]","{""threads"": 2, ""target_name"": ""default""}"
669923,AGOS_L1_O_INT_CCINTTQN [[AGOS_L1_O_INT_CCINTTQN]],702,12990,58598,2026-06-09 14:16:14.051094+00:00,2026-07-24 12:58:35.881874+00:00,L1,OCS,XIN,,CCINTTQN,"[""dbt build --select +ccinttqn""]","{""threads"": 2, ""target_name"": ""default""}"
669924,AGOS_L1_O_RIS_YQCRFTER [[AGOS_L1_O_RIS_YQCRFTER]],702,12990,58598,2026-06-09 14:16:14.211652+00:00,2026-06-30 09:40:09.428856+00:00,L1,OCS,RIS,,YQCRFTER,"[""dbt build --select +yqcrfter""]","{""threads"": 2, ""target_name"": ""default""}"
669925,AGOS_L1_O_RIS_YQCRFECN [[AGOS_L1_O_RIS_YQCRFECN]],702,12990,58598,2026-06-09 14:16:16.026979+00:00,2026-06-30 09:38:36.766602+00:00,L1,OCS,RIS,,YQCRFECN,"[""dbt build --select +yqcrfecn""]","{""threads"": 2, ""target_name"": ""default""}"
669926,AGOS_L1_O_CMN_OXSOFTMUD [[AGOS_L1_O_CMN_OXSOFTMUD]],702,12990,58598,2026-06-09 14:16:16.287576+00:00,2026-06-30 09:34:57.292636+00:00,L1,OCS,CMN,,OXSOFTMUD,"[""dbt build --select +oxsoftmud""]","{""threads"": 2, ""target_name"": ""default""}"
